序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,Max_Close_7,Max_Date_7,天数_7,收益率_7,Max_Close_30,Max_Date_30,天数_30,收益率_30,Max_Close_90,Max_Date_90,天数_90,收益率_90
85,688096,京源环保,2020/4/30,20200409,72.48,14.34,2020/4/9,3.3,-3.1,2.49%,102.58,-0.06,-0.04,27.75,2020/4/9,0,0.93,27.75,2020/4/9,0,0.93,27.74784088,2020/4/9,0,0.934995877
86,688097,博众精工,2021/5/31,20210512,73.45,11.27,2021/5/12,1.3,9,10.53%,85.27,0.14,0.04,25.21,2021/5/18,6,1.24,37.00,2021/6/1,20,2.28,43.08000183,2021/8/4,84,2.822537873
87,688098,申联生物,2019/10/31,20191028,85.1,8.8,2019/10/28,3.8,-1.6,5.13%,318.3,-0.27,-0.17,36.00,2019/10/28,0,3.09,36.00,2019/10/28,0,3.09,36.00181198,2019/10/28,0,3.091114998
88,688099,晶晨股份,2019/8/31,20190808,75.13,38.5,2019/8/8,2.8,-0.8,4.18%,272.36,0.05,-0.12,149.67,2019/8/9,1,2.89,149.67,2019/8/9,1,2.89,149.6746674,2019/8/9,1,2.887653698
89,688100,威胜信息,2020/1/31,20200121,73.07,13.78,2020/1/21,5.4,0.1,1.11%,192.45,-0.12,-0.07,38.75,2020/1/21,0,1.81,38.75,2020/1/21,0,1.81,38.75447464,2020/1/21,0,1.812371164
90,688101,三达膜,2019/11/30,20191115,67.15,18.26,2019/11/15,4.5,-1.4,-4.13%,48.96,-0.15,0.01,26.14,2019/11/15,0,0.43,26.14,2019/11/15,0,0.43,26.13697624,2019/11/15,0,0.431378765
91,688102,斯瑞新材,2022/3/31,20220316,75.12,10.48,2022/3/16,1.5,8.3,-13.55%,90.08,-0.17,-0.10,19.80,2022/3/16,0,0.89,19.80,2022/3/16,0,0.89,19.79646492,2022/3/16,0,0.88897566
92,688103,国力股份,2021/9/30,20210910,88.3,12.04,2021/9/10,0.7,10.7,-2.75%,516.28,0.08,-0.10,79.48,2021/9/13,3,5.60,79.48,2021/9/13,3,5.60,80.60326385,2021/11/29,80,5.694623244
93,688105,诺唯赞,2021/11/30,20211115,71.05,55,2021/11/15,2.3,12.9,9.01%,55.18,0.11,0.02,99.87,2021/11/19,4,0.82,118.58,2021/12/9,24,1.16,124.657814,2021/12/22,37,1.26650571
94,688106,金宏气体,2020/6/30,20200616,69.84,15.48,2020/6/16,2.5,-3,13.97%,151.49,0.00,0.00,39.06,2020/6/22,6,1.52,55.11,2020/7/9,23,2.56,55.10916901,2020/7/9,23,2.560023838
95,688107,安路科技,2021/11/30,20211112,77.24,26,2021/11/12,2.3,12.9,20.50%,170.19,-0.04,-0.07,82.34,2021/11/18,6,2.17,98.28,2021/11/23,11,2.78,98.27999878,2021/11/23,11,2.779999953
96,688108,赛诺医疗,2019/10/31,20191030,83.07,6.99,2019/10/30,3.8,-1.6,2.53%,217.74,-0.15,0.03,22.13,2019/10/30,0,2.17,22.13,2019/10/30,0,2.17,22.13450623,2019/10/30,0,2.166596027
97,688109,品茗科技,2021/3/31,20210330,70.1,50.05,2021/3/30,0.4,4.4,-1.36%,78.82,-0.14,0.02,86.64,2021/3/30,0,0.73,86.64,2021/3/30,0,0.73,86.63821411,2021/3/30,0,0.731033249
99,688111,金山办公,2019/11/30,20191118,63.5,45.86,2019/11/18,4.5,-1.4,-3.40%,175.51,0.08,0.08,146.31,2019/11/20,2,2.19,165.99,2019/12/16,28,2.62,243.5223694,2020/2/7,81,4.310125804
100,688112,鼎阳科技,2021/12/31,20211201,78.42,46.6,2021/12/1,1.5,10.3,1.02%,128.22,0.00,-0.02,109.61,2021/12/6,5,1.35,114.86,2021/12/8,7,1.46,114.8569183,2021/12/8,7,1.464740737
101,688113,联测科技,2021/5/31,20210506,73.75,19.14,2021/5/6,1.3,9,6.91%,251.93,-0.13,0.13,72.71,2021/5/11,5,2.80,72.71,2021/5/11,5,2.80,76.14994812,2021/8/3,89,2.978576182
102,688114,华大智造,2022/9/30,20220909,70.17,87.18,2022/9/9,2.8,0.9,-2.47%,14.71,0.09,0.13,124.00,2022/9/14,5,0.42,124.00,2022/9/14,5,0.42,140.6199951,2022/11/3,55,0.612984573
103,688115,思林杰,2022/3/31,20220314,44.15,65.65,2022/3/14,1.5,8.3,-9.13%,-23.67,-0.08,-0.01,49.56,2022/3/14,0,-0.25,49.56,2022/3/14,0,-0.25,49.56121826,2022/3/14,0,-0.245069029
104,688116,天奈科技,2019/9/30,20190925,75.02,16,2019/9/25,3,-1.2,2.80%,221.19,-0.14,-0.02,51.21,2019/9/25,0,2.20,51.21,2019/9/25,0,2.20,51.2142868,2019/9/25,0,2.200892925
105,688117,圣诺生物,2021/6/30,20210603,73.92,17.9,2021/6/3,1.1,8.8,-1.24%,265.98,0.02,-0.12,66.12,2021/6/4,1,2.69,66.12,2021/6/4,1,2.69,66.12388611,2021/6/4,1,2.69407185
106,688118,普元信息,2019/12/31,20191204,83.72,26.9,2019/12/4,4.5,-0.5,9.54%,60.78,-0.09,-0.07,41.34,2019/12/4,0,0.54,46.79,2019/12/18,14,0.74,55.90175247,2020/2/17,75,1.078132062
107,688119,中钢洛耐,2022/6/30,20220606,77.72,5.06,2022/6/6,2.5,6.1,8.34%,150.59,-0.19,0.01,12.68,2022/6/6,0,1.51,12.68,2022/6/6,0,1.51,12.68000031,2022/6/6,0,1.505928914
108,688120,华海清科,2022/6/30,20220608,64.9,136.66,2022/6/8,2.5,6.1,12.19%,63.98,0.01,0.05,238.50,2022/6/10,2,0.75,275.31,2022/7/7,29,1.01,346.8399963,2022/8/29,82,1.537977436
109,688121,卓然股份,2021/9/30,20210906,75.39,18.16,2021/9/6,0.7,10.7,-6.22%,116.02,0.04,0.13,46.28,2021/9/8,2,1.55,46.70,2021/9/13,7,1.57,46.70000076,2021/9/13,7,1.571585945
110,688122,西部超导,2019/7/31,20190722,83.4,15,2019/7/22,2.8,-0.3,3.92%,266.6,-0.16,0.06,53.65,2019/7/22,0,2.58,64.20,2019/8/5,14,3.28,64.19593811,2019/8/5,14,3.279729207
111,688123,聚辰股份,2019/12/31,20191223,73.2,33.25,2019/12/23,4.5,-0.5,13.40%,139.19,0.01,0.04,82.28,2019/12/25,2,1.47,85.81,2020/1/17,25,1.58,100.4689865,2020/2/18,57,2.021623654
112,688125,安达智能,2022/4/30,20220415,49.41,60.55,2022/4/15,2.1,8,-18.61%,-23.25,-0.03,-0.06,45.39,2022/4/15,0,-0.25,45.39,2022/4/15,0,-0.25,54.5,2022/7/13,89,-0.099917424
113,688126,沪硅产业,2020/4/30,20200420,71.14,3.89,2020/4/20,3.3,-3.1,11.52%,180.46,-0.05,0.14,11.80,2020/4/22,2,2.03,22.70,2020/5/19,29,4.84,63.90000153,2020/7/14,85,15.42673561
